code,year,sectordeflator_VA_P,sectordeflator_GO_P,sectordeflator_II_P,IP_GFCF_market,deflator,_fillin
22-23,1967,,,,,,1
22-23,1968,,,,,,1
22-23,1969,,,,,,1
22-23,1970,,,,,.15977,0
22-23,1971,,,,,.1692,0
22-23,1972,,,,,.18071,0
22-23,1973,,,,,.19492,0
22-23,1974,,,,,.21796,0
22-23,1975,.4767866420274551,.3995067673178458,.3604526966737065,,.24795,0
22-23,1976,.5280899999999999,.44249463,.39923825,,.27463,0
22-23,1977,.56665,.47289918,.4254528,,.29875,0
22-23,1978,.6299900000000001,.50928118,.44751445,.3951031196971334,.32648,0
22-23,1979,.6909399999999999,.56167345,.49549457,.4358744505676199,.36017,0
22-23,1980,.74783,.61911025,.55256593,.4960620120947767,.40227,0
22-23,1981,.7982299999999999,.67683385,.6127970899999999,.5597495450163303,.44932,0
22-23,1982,.8479300000000001,.72526624,.66002994,.6326733277225651,.50367,0
22-23,1983,.90444,.7636253200000001,.6896660400000001,.6865399134403484,.5523,0
22-23,1984,.93662,.7977030700000001,.72404526,.7293136586108311,.59137,0
22-23,1985,.9894700000000001,.83767781,.7576878600000001,.7617239994968514,.62363,0
22-23,1986,1.10581,.83508946,.69998475,.7895297251851026,.65524,0
22-23,1987,1.15183,.8474445799999999,.69717517,.8088940468781413,.67156,0
22-23,1988,1.22019,.8873429899999999,.72349515,.8283280733226913,.69313,0
22-23,1989,1.24616,.9178400799999999,.75558083,.8498207447508541,.71599,0
22-23,1990,1.2213,.92073043,.77124781,.8586975808085746,.73511,0
22-23,1991,1.23397,.92670308,.77406704,.8821211351241308,.754,0
22-23,1992,1.23269,.9226462999999999,.76872524,.8771932681420896,.769,0
22-23,1993,1.21534,.90637945,.75314105,.8696007063531881,.78161,0
22-23,1994,1.20629,.9167495999999999,.7725095399999999,.8679314860560655,.78893,0
22-23,1995,1.24336,.9508765,.8049681,.8673846057345996,.79798,0
22-23,1996,1.20487,.9337135600000001,.79789917,.8731732364327884,.80889,0
22-23,1997,1.21232,.94170886,.80603645,.8694265941298686,.81602,0
22-23,1998,1.23584,.94135427,.79491278,.8661622825628201,.82379,0
22-23,1999,1.20657,.93342496,.7968729600000001,.8673886454625638,.8256,0
22-23,2000,1.16399,.94284238,.8301935899999999,.8940202939151136,.83834,0
22-23,2001,1.18004,.9626434899999999,.85151614,.9037644157871479,.85512,0
22-23,2002,1.17802,.96324577,.8533642100000001,.910662003840373,.87283,0
22-23,2003,1.12788,.9652121699999999,.8831664100000001,.9082883909713766,.88918,0
22-23,2004,1.08913,.9688766599999999,.9083227100000001,.9174186755616884,.90381,0
22-23,2005,1.05991,.98393105,.9461908999999999,.9359927419758036,.92134,0
22-23,2006,1.03714,.9979479600000001,.9794265799999999,.9617287901985674,.94126,0
22-23,2007,1.05235,1.01420596,.9962332700000001,.9772530754463074,.96539,0
22-23,2008,1.01295,1.02970252,1.0409663,.9907554992518763,.98836,0
22-23,2009,1.03029,.99978735,.98426222,.9949341121793988,.98931,0
22-23,2010,1,1,1,1,1,0
22-23,2011,.9434399999999999,1.02035073,1.06170141,1.017739101505978,1.00943,0
22-23,2012,.96556,1.03562538,1.07317998,1.028603410557745,1.02112,0
22-23,2013,1.00702,1.04242962,1.06091372,1.032626183369822,1.02905,0
22-23,2014,1.01511,1.03638429,1.04710779,1.031410048928839,1.03498,0
22-23,2015,1.02582,1.02548201,1.02427677,1.030898669860722,1.04687,0
22-23,2016,1.031180041707251,1.030840285665941,1.02962874813161,1.036285248272532,1.052340030670166,1
22-23,2017,1.036559597719183,1.036218069206937,1.035000211210841,1.041691437601208,1.057829976081848,1
22-23,2018,1.046427081596368,1.046082301918346,1.044852850576177,1.051607773804305,1.067899942398071,1
22-23,2019,1.060230905744329,1.059881577944294,1.058635908434205,1.065479938465869,1.081987023353577,1
24-25,1952,,,,,,1
24-25,1953,,,,,,1
24-25,1954,,,,,,1
24-25,1955,,,,,,1
24-25,1956,,,,,,1
24-25,1957,,,,,,1
24-25,1958,,,,,,1
24-25,1959,,,,,,1
24-25,1960,,,,,,1
24-25,1961,,,,,,1
24-25,1962,,,,,,1
24-25,1963,,,,,,1
24-25,1964,,,,,,1
24-25,1965,,,,,,1
24-25,1966,,,,,,1
24-25,1967,,,,,,1
24-25,1968,,,,,,1
24-25,1969,,,,,,1
24-25,1970,,,,,.15977,0
24-25,1971,,,,,.1692,0
24-25,1972,,,,,.18071,0
24-25,1973,,,,,.19492,0
24-25,1974,,,,,.21796,0
24-25,1975,.1950068109820486,.2471425802534319,.273376363780359,,.24795,0
